Category: All categories

Month,Cupcake: (Worldwide)
2004-01,5
2004-02,6
2004-03,6
2004-04,5
2004-05,6
2004-06,5
2004-07,6
2004-08,5
2004-09,5
2004-10,9
2004-11,6
2004-12,7
2005-01,6
2005-02,9
2005-03,8
2005-04,7
2005-05,7
2005-06,8
2005-07,8
2005-08,8
2005-09,8
2005-10,11
2005-11,8
2005-12,8
2006-01,10
2006-02,10
2006-03,10
2006-04,11
2006-05,11
2006-06,11
2006-07,9
2006-08,11
2006-09,12
2006-10,15
2006-11,11
2006-12,12
2007-01,12
2007-02,14
2007-03,15
2007-04,15
2007-05,16
2007-06,17
2007-07,18
2007-08,17
2007-09,18
2007-10,23
2007-11,18
2007-12,18
2008-01,19
2008-02,25
2008-03,24
2008-04,23
2008-05,24
2008-06,24
2008-07,25
2008-08,26
2008-09,27
2008-10,31
2008-11,27
2008-12,27
2009-01,29
2009-02,36
2009-03,33
2009-04,35
2009-05,37
2009-06,34
2009-07,36
2009-08,38
2009-09,36
2009-10,44
2009-11,38
2009-12,34
2010-01,38
2010-02,47
2010-03,45
2010-04,45
2010-05,47
2010-06,48
2010-07,56
2010-08,62
2010-09,58
2010-10,63
2010-11,58
2010-12,55
2011-01,56
2011-02,72
2011-03,70
2011-04,72
2011-05,68
2011-06,70
2011-07,70
2011-08,75
2011-09,74
2011-10,85
2011-11,79
2011-12,79
2012-01,79
2012-02,94
2012-03,89
2012-04,92
2012-05,92
2012-06,88
2012-07,87
2012-08,87
2012-09,90
2012-10,97
2012-11,87
2012-12,84
2013-01,78
2013-02,100
2013-03,96
2013-04,88
2013-05,90
2013-06,81
2013-07,83
2013-08,83
2013-09,84
2013-10,94
2013-11,85
2013-12,86
2014-01,82
2014-02,96
2014-03,92
2014-04,88
2014-05,85
2014-06,75
2014-07,78
2014-08,83
2014-09,84
2014-10,90
2014-11,81
2014-12,76
2015-01,73
2015-02,87
2015-03,79
2015-04,77
2015-05,75
2015-06,71
2015-07,71
2015-08,69
2015-09,68
2015-10,81
2015-11,70
2015-12,67
2016-01,67
2016-02,77
2016-03,72
2016-04,66
2016-05,66
2016-06,62
2016-07,60
2016-08,58
2016-09,60
2016-10,68
2016-11,58
2016-12,57
2017-01,54
2017-02,68
2017-03,60
2017-04,60
2017-05,57
2017-06,54
2017-07,52
2017-08,51
2017-09,53
2017-10,60
2017-11,53
2017-12,51
2018-01,50
2018-02,57
2018-03,57
2018-04,48
2018-05,51
2018-06,48
2018-07,46
2018-08,46
2018-09,47
2018-10,52
2018-11,49
2018-12,49
2019-01,50
2019-02,56
2019-03,50
2019-04,47
2019-05,46
2019-06,45
2019-07,41
2019-08,44
2019-09,44
2019-10,55
2019-11,45
2019-12,44
2020-01,41
2020-02,51
2020-03,45
2020-04,55
2020-05,58
2020-06,52
2020-07,49
2020-08,47
2020-09,42
2020-10,50
2020-11,42
2020-12,43
2021-01,42
2021-02,46
